subID,trial,setSize,targetPresent,response,RT
ReTest.Chris.Bi,42,8,1,RightArrow,2.12824
ReTest.Olu.Bi,1,8,1,RightArrow,1.899626
ReTest.Olu.Bi,2,4,0,LeftArrow,1.481705
ReTest.Olu.Bi,3,4,1,RightArrow,1.283216
ReTest.Olu.Bi,4,16,0,LeftArrow,2.738422
ReTest.Olu.Bi,5,16,0,LeftArrow,3.018775
ReTest.Olu.Bi,6,16,1,LeftArrow,3.425683
ReTest.Olu.Bi,7,16,1,LeftArrow,2.718554
ReTest.Olu.Bi,8,8,0,LeftArrow,2.558903
ReTest.Olu.Bi,9,4,0,LeftArrow,1.36535
ReTest.Olu.Bi,10,4,1,RightArrow,0.860771
ReTest.Olu.Bi,11,8,0,LeftArrow,1.877073
ReTest.Olu.Bi,12,16,0,LeftArrow,2.708819
ReTest.Olu.Bi,13,16,0,LeftArrow,3.314746
ReTest.Olu.Bi,14,8,1,RightArrow,1.218058
ReTest.Olu.Bi,15,8,1,LeftArrow,1.859983
ReTest.Olu.Bi,16,16,1,LeftArrow,3.821991
ReTest.Olu.Bi,17,4,1,RightArrow,1.247716
ReTest.Olu.Bi,18,16,0,LeftArrow,3.606982
ReTest.Olu.Bi,19,16,1,RightArrow,1.324462
ReTest.Olu.Bi,20,4,1,RightArrow,2.747918
ReTest.Olu.Bi,21,4,1,RightArrow,1.863305
ReTest.Olu.Bi,22,16,0,LeftArrow,2.812048
ReTest.Olu.Bi,23,4,1,RightArrow,1.112455
ReTest.Olu.Bi,24,4,1,RightArrow,1.200191
ReTest.Olu.Bi,25,8,0,LeftArrow,1.940301
ReTest.Olu.Bi,26,8,1,RightArrow,1.723965
ReTest.Olu.Bi,27,16,0,LeftArrow,3.572361
ReTest.Olu.Bi,28,4,0,LeftArrow,1.070617
ReTest.Olu.Bi,29,8,1,RightArrow,0.738073
ReTest.Olu.Bi,30,16,1,LeftArrow,3.275416
ReTest.Olu.Bi,31,8,0,LeftArrow,1.776885
ReTest.Olu.Bi,32,8,1,RightArrow,0.86977
